,y_hat
2372,False
3729,False
3329,False
3757,False
2167,False
3101,False
3837,False
2722,False
2691,False
2805,False
3892,False
3551,False
3934,False
3796,False
3806,False
2551,False
2146,False
3645,False
3143,False
2659,False
3947,False
2292,False
3134,False
3349,False
3424,False
3328,False
3013,False
3058,False
2507,False
2002,False
3055,False
3866,False
2872,False
3835,False
2061,False
3838,False
2669,False
2638,False
2181,False
2680,False
3562,False
3569,False
2777,False
2815,False
3041,False
3585,False
3396,False
2532,False
2744,False
2082,False
3825,False
2848,False
2338,False
2092,False
3743,False
2309,False
3472,False
2521,False
3738,False
3877,False
3416,False
2020,False
2038,False
2657,False
2506,False
3032,False
3117,False
2316,False
3739,False
3932,False
2323,False
3702,False
2256,False
2063,False
3330,False
3594,False
3522,False
2172,False
3957,False
2869,False
3225,False
2308,False
3734,False
3723,False
2906,False
2941,False
2379,False
2343,False
3311,False
3126,False
3141,False
3025,False
2785,False
3972,False
2640,False
2147,False
3658,False
3240,False
3136,False
2541,False
2182,False
3708,False
2776,False
3483,False
2133,False
3438,False
2738,False
2373,False
2800,False
3113,False
3572,False
2682,False
2087,False
3930,False
2069,False
3428,False
3275,False
2195,False
2188,False
2977,False
3610,False
2773,False
3417,False
2249,False
3966,False
3843,False
3497,False
2947,False
3620,False
2957,False
2245,False
2495,False
3762,False
3214,False
2882,False
2718,False
3566,False
2778,False
2401,False
2679,False
2609,False
3597,False
2540,False
3851,False
3378,False
2236,False
2204,False
3454,False
3586,False
3402,False
2212,False
2431,False
3332,False
3997,False
3783,False
3988,False
2090,False
3446,False
3450,False
3893,False
3127,False
2145,False
2711,False
2096,False
2597,False
3427,False
3906,False
2268,False
2485,False
2664,False
2112,False
3563,False
2099,False
3575,False
2515,False
2366,False
3137,False
3044,False
3309,False
2838,False
2550,False
2945,False
2393,False
3361,False
3188,False
3062,False
3879,False
2312,False
2667,False
3391,False
3190,False
3812,False
3511,False
2687,False
2300,False
2097,False
3841,False
2754,False
3854,False
2891,False
