,y_hat
3285,False
3966,False
3293,False
3453,False
3943,False
2293,False
2943,False
2435,False
2038,False
3450,False
2651,False
3938,False
3532,False
2805,False
3877,False
3512,False
2313,False
3522,False
3612,False
3189,False
3911,False
2966,False
2776,False
3031,False
2731,False
2682,False
3401,False
2901,False
2421,False
3337,False
3305,False
2787,False
2567,False
2609,False
3566,False
3315,False
2834,False
2528,False
3754,False
2413,False
3014,False
3765,False
3433,False
3935,False
3751,False
3632,False
3697,False
3563,False
3214,False
2285,False
2308,False
3951,False
2096,False
2826,False
2598,False
2667,False
2841,False
2760,False
2059,False
2212,False
2809,False
2687,False
3796,False
2754,False
3190,False
3617,False
3841,False
2346,False
2381,False
3835,False
2133,False
2495,False
2977,False
2323,False
2382,False
2833,False
3258,False
2048,False
2908,False
3460,False
2603,False
2773,False
2741,False
3552,False
3679,False
2785,False
3217,False
3628,False
2358,False
3716,False
3849,False
3487,False
2653,False
3225,False
2033,False
2186,False
3010,False
2550,False
2771,False
2679,False
3768,False
3914,False
3135,False
3770,False
3028,False
3704,False
2126,False
3180,False
3209,False
3551,False
2196,False
2681,False
3412,False
2596,False
2657,False
2945,False
3416,False
3449,False
2817,False
3653,False
3235,False
3967,False
2729,False
3275,False
2753,False
3068,False
3227,False
3375,False
3402,False
2838,False
2923,False
2526,False
3339,False
3655,False
2832,False
2267,False
2250,False
3300,False
2408,False
2117,False
3543,False
3695,False
3562,False
2184,False
3734,False
2781,False
2765,False
2437,False
3859,False
2195,False
3425,False
2484,False
2066,False
2511,False
3058,False
3311,False
2571,False
3349,False
2984,False
2996,False
3489,False
3723,False
3236,False
3738,False
3893,False
3571,False
3123,False
3575,False
3013,False
2718,False
3340,False
2338,False
3812,False
3044,False
3011,False
2082,False
2545,False
3178,False
2309,False
2566,False
2733,False
2343,False
3724,False
2959,False
3932,False
2998,False
3183,False
3336,False
3296,False
2558,False
2869,False
2830,False
2163,False
2917,False
2112,False
3895,False
2312,False
3957,False
3210,False
3457,False
