,y_hat
2380,False
2929,False
3939,False
2774,False
3905,False
2158,False
2107,False
3005,False
2597,False
3066,False
3358,False
2009,False
2904,False
2683,False
2349,False
3120,False
2807,False
3201,False
3601,False
2442,False
2387,False
2371,False
3508,False
2069,False
2437,False
3170,False
3101,False
3879,False
3188,False
2998,False
3729,False
2804,False
3291,False
2086,False
3650,False
3138,False
3136,False
3007,False
2702,False
3492,False
2662,False
3087,False
3609,False
2469,False
2478,False
3759,False
3065,False
3559,False
3990,False
3413,False
2206,False
3034,False
2691,False
3228,False
2185,False
3684,False
2751,False
3473,False
2789,False
2130,False
3934,False
2261,False
2277,False
2419,False
2719,False
2065,False
2794,False
3324,False
3890,False
2271,False
2505,False
2182,False
3591,False
3465,False
2482,False
2963,False
3026,False
2748,False
2148,False
2977,False
2942,False
3474,False
3072,False
2488,False
3829,False
3093,False
2726,False
3187,False
2640,False
2060,False
3060,False
2852,False
3823,False
3008,False
2936,False
3347,False
3059,False
3562,False
3891,False
3572,False
3074,False
2814,False
2177,False
3844,False
2554,False
3961,False
2402,False
2165,False
2925,False
2762,False
2358,False
3525,False
3754,False
2506,False
3398,False
3833,False
2428,False
2240,False
2439,False
3676,False
3551,False
2359,False
3841,False
3541,False
3923,False
2611,False
3976,False
3361,False
2738,False
3966,False
2088,False
2004,False
3585,False
3256,False
2082,False
3659,False
2655,False
3817,False
2793,False
3289,False
3713,False
2215,False
3487,False
3871,False
3922,False
2705,False
2745,False
3632,False
3190,False
3068,False
2830,False
3308,False
2937,False
3269,False
3513,False
2052,False
2230,False
3527,False
2489,False
2323,False
3274,False
2872,False
3468,False
2055,False
3147,False
3747,False
2486,False
2471,False
2447,False
3807,False
2270,False
3859,False
2189,False
2849,False
2773,False
3283,False
2510,False
2385,False
3094,False
3456,False
2213,False
3092,False
3952,False
2795,False
3631,False
2700,False
2575,False
2028,False
3111,False
2152,False
2984,False
3764,False
3445,False
2896,False
2414,False
2997,False
2845,False
3494,False
2856,False
2535,False
