,y_hat
2918,False
2300,False
3581,False
3184,False
3789,False
3172,False
2112,False
3428,False
2750,False
2127,False
3560,False
3545,False
3472,False
3311,False
2101,False
3896,False
2968,False
3432,False
2769,False
3975,False
3744,False
3098,False
2527,False
3257,False
2659,False
2197,False
2103,False
2523,False
3061,False
2403,False
2861,False
2734,False
2793,False
3341,False
2596,False
2184,False
2004,False
2453,False
2405,False
3307,False
3597,False
3989,False
2364,False
2436,False
3717,False
2317,False
2789,False
3228,False
3993,False
2684,False
3290,False
2834,False
2826,False
2948,False
2799,False
3081,False
2217,False
2148,False
2557,False
2185,False
2412,False
2549,False
3802,False
3858,False
2975,False
2862,False
3385,False
3324,False
2925,False
2276,False
3443,False
3963,False
2534,False
3535,False
2264,False
2876,False
2706,False
3602,False
2762,False
2373,False
2057,False
3777,False
3551,False
2240,False
3673,False
2959,False
3761,False
3983,False
3720,False
2953,False
3345,False
2003,False
2013,False
3249,False
2211,False
3794,False
3780,False
2092,False
2949,False
2738,False
3691,False
2614,False
2922,False
3064,False
2354,False
3865,False
2253,False
2059,False
2635,False
2399,False
3607,False
2447,False
3538,False
2792,False
3410,False
3505,False
2204,False
3406,False
3351,False
2269,False
3284,False
2787,False
3724,False
3177,False
3708,False
2941,False
3974,False
2547,False
2477,False
3321,False
3026,False
3547,False
2353,False
3099,False
3155,False
3267,False
3128,False
3705,False
2752,False
3196,False
2679,False
2463,False
2566,False
2631,False
3833,False
3419,False
3349,False
3281,False
3144,False
2886,False
3932,False
3078,False
3855,False
2577,False
2722,False
3967,False
3254,False
3186,False
2645,False
3012,False
2543,False
3722,False
3889,False
2660,False
3687,False
2878,False
2759,False
2355,False
2563,False
3997,False
3731,False
2846,False
2757,False
3611,False
2960,False
3700,False
3423,False
2047,False
3677,False
3047,False
3101,False
3528,False
3360,False
3808,False
3534,False
3930,False
3775,False
3353,False
3696,False
2683,False
2432,False
3740,False
2392,False
3559,False
2589,False
2853,False
2254,False
3944,False
3438,False
2461,False
