,y_hat
2188,False
3027,False
3191,False
3631,False
3633,False
2350,False
3192,False
3187,False
3208,False
2466,False
2940,False
2696,False
2163,False
2138,False
2117,False
2213,False
2343,False
2809,False
3751,False
2868,False
2391,False
2137,False
3213,False
3044,False
3296,False
2078,False
2882,False
2700,False
2049,False
3588,False
3795,False
3846,False
2001,False
2409,False
2724,False
2541,False
2208,False
3001,False
2558,False
2740,False
2720,False
3935,False
3347,False
3656,False
2064,False
3494,False
2831,False
3159,False
2729,False
2580,False
2938,False
3788,False
2519,False
3262,False
3918,False
3637,False
3506,False
2043,False
2102,False
2561,False
2463,False
3373,False
2341,False
3234,False
2932,False
3672,False
2495,False
3851,False
2055,False
2987,False
2955,False
2490,False
3127,False
3367,False
3565,False
2014,False
2366,False
3834,False
2011,False
3354,False
2132,False
3359,False
2950,False
2976,False
3680,False
3572,False
2451,False
3106,False
3937,False
2410,False
3308,False
2744,False
2736,False
3069,False
3848,False
3784,False
2981,False
3326,False
2557,False
2795,False
2210,False
3080,False
2911,False
3671,False
2316,False
2267,False
3236,False
2097,False
3623,False
2008,False
2462,False
3425,False
2687,False
2427,False
3723,False
3322,False
3706,False
3926,False
2258,False
2284,False
3075,False
3602,False
2324,False
2652,False
2135,False
2695,False
2915,False
3607,False
2661,False
2584,False
2830,False
2088,False
2428,False
2243,False
2334,False
3055,False
3714,False
3516,False
3966,False
3214,False
2501,False
3253,False
3620,False
3181,False
3673,False
3866,False
3331,False
3635,False
2252,False
3335,False
2856,False
2077,False
3081,False
3997,False
2056,False
2585,False
3967,False
3174,False
3173,False
3920,False
2060,False
3223,False
2924,False
2628,False
3378,False
3746,False
2869,False
2735,False
2578,False
2424,False
3582,False
3934,False
2984,False
2930,False
2785,False
2168,False
2333,False
2076,False
2431,False
2199,False
3064,False
3605,False
2029,False
2071,False
2153,False
2151,False
3583,False
3050,False
2376,False
2326,False
3689,False
3408,False
3881,False
3782,False
3690,False
2010,False
2781,False
2668,False
3994,False
3097,False
