,y_hat
2330,False
2734,False
3378,False
3526,False
3854,False
3490,False
3841,False
2303,False
2879,False
2901,False
3647,False
3957,False
3478,False
2639,False
2265,False
2694,False
2923,False
3633,False
2270,False
3303,False
3985,False
3677,False
3505,False
3116,False
3901,False
2397,False
2057,False
2293,False
2658,False
2612,False
3248,False
2784,False
2931,False
3065,False
3835,False
2512,False
2098,False
3399,False
3881,False
3667,False
3450,False
2473,False
2796,False
3495,False
2551,False
2497,False
3919,False
3833,False
3064,False
3211,False
3149,False
3669,False
3948,False
2286,False
2414,False
2071,False
2346,False
2054,False
2747,False
2524,False
2739,False
3979,False
2934,False
2250,False
3995,False
2955,False
2299,False
2891,False
2135,False
3137,False
2765,False
2409,False
2239,False
3488,False
3457,False
2365,False
3564,False
3127,False
3469,False
3349,False
2493,False
2412,False
2408,False
2003,False
2659,False
2987,False
2754,False
2999,False
2669,False
2833,False
2324,False
3916,False
2539,False
2540,False
3177,False
3408,False
3148,False
3112,False
3133,False
3118,False
3085,False
3805,False
3926,False
2867,False
3438,False
3834,False
3301,False
2873,False
3818,False
2302,False
3701,False
3356,False
2662,False
2690,False
2863,False
2337,False
3058,False
3400,False
2887,False
3335,False
3230,False
2922,False
2718,False
2351,False
3639,False
3196,False
3893,False
3556,False
3708,False
2676,False
3672,False
3678,False
3419,False
3771,False
3122,False
3329,False
2186,False
3405,False
3005,False
2642,False
2157,False
3477,False
3407,False
2180,False
2139,False
3375,False
2657,False
3243,False
2520,False
3968,False
3950,False
3883,False
2065,False
3533,False
3032,False
2900,False
3319,False
2290,False
2827,False
3019,False
2364,False
2587,False
3691,False
3283,False
3874,False
3587,False
2485,False
2608,False
3567,False
2841,False
3268,False
3417,False
3289,False
3305,False
2767,False
3308,False
2960,False
3568,False
2126,False
3511,False
2243,False
2598,False
2685,False
3258,False
3110,False
2400,False
3767,False
3745,False
3091,False
2182,False
3548,False
2123,False
3295,False
3026,False
3174,False
2990,False
2345,False
3079,False
3558,False
2248,False
